Latitude,Longitude,Time
11.9542056,108.4445866,15:48:18
11.954213435551525,108.44459901362657,15:48:23
11.95421328853243,108.44460225290689,15:48:28
11.954213470048204,108.44460245415775,15:48:32
11.954216625323873,108.44463269057374,15:48:37
11.954218080440903,108.444658595916,15:48:43
11.954218122707914,108.44467062543083,15:48:47
11.954217766760133,108.44467432291717,15:48:52
11.954217265941955,108.44467381342041,15:48:57
11.954216877685669,108.4446716810875,15:49:01
11.954216558016544,108.44466931097416,15:49:06
11.954221226973214,108.44466973445792,15:49:11
11.954226338227489,108.44467081966633,15:49:16
11.954229194001295,108.44467240918624,15:49:21
11.954221207558144,108.44466741589173,15:49:27
11.954216676739753,108.44466453478215,15:49:31
11.95421377357912,108.44466319807493,15:49:36
11.954207884332039,108.44466394751383,15:49:41
11.954200958283852,108.44466448746701,15:49:46
11.954196916060532,108.44466576988047,15:49:51
11.954194868197407,108.44466694770514,15:49:56
11.954194149254281,108.44466780982533,15:50:01
11.954357666828152,108.44452824767286,15:51:03
11.954455077511229,108.4444522799456,15:51:07
11.954507174512207,108.44441886909453,15:51:11
11.954528462609295,108.44441040963831,15:51:16
