Latitude,Longitude,Time
11.9545621,108.4444886,15:11:52
11.954547749495521,108.44449185747646,15:11:57
11.954542636892379,108.4444868228828,15:12:01
11.95453492015588,108.4444731428021,15:12:07
11.954530041446882,108.44448414368985,15:12:12
11.954527726051797,108.44449641107101,15:12:16
11.954523418418878,108.44450206755342,15:12:21
11.95452137738867,108.44450270367416,15:12:26
11.954515948306224,108.44450254000715,15:12:32
11.954516199338974,108.44450357077885,15:12:37
11.954515557981555,108.44450055158953,15:12:41
11.954513464965093,108.4444955044945,15:12:46
11.954513782895171,108.44449041745244,15:12:51
11.954512593044255,108.44448667648913,15:12:56
11.954514116008811,108.44448688778242,15:13:01
11.954515339422016,108.44448356159526,15:13:04
11.954516478067482,108.44448357963492,15:13:06
11.954517086170265,108.44448326738221,15:13:11
11.95451740336487,108.44448020531229,15:13:16
11.954517032907225,108.4444792029967,15:13:21
11.954517151315644,108.44448104184559,15:13:26
11.954517653231626,108.44448295843775,15:13:31
11.954517453157848,108.44448202289942,15:13:34
11.954518336846883,108.44448107124686,15:13:36
11.954516801869147,108.44447983814673,15:13:40
11.954516155433025,108.44447930249046,15:13:46
11.954515078688292,108.44447666840055,15:13:51
11.954515393312947,108.44447369460386,15:13:56
11.954516943076921,108.44447161654955,15:13:59
11.954517008390717,108.4444726237631,15:14:01
11.95451757127083,108.4444726284734,15:14:07
11.954518780719381,108.44447166994462,15:14:12
11.954518955645622,108.44447138356192,15:14:17
11.954527570509095,108.44447254180994,15:14:20
11.954533000891207,108.4444727107393,15:14:22
11.954558667052103,108.44445389553688,15:14:27
11.95457868106758,108.44443352747045,15:14:32
11.954587898166329,108.44442102515956,15:14:37
11.95459651542743,108.44441259557863,15:14:40
11.95461161433617,108.44440082403408,15:14:42
11.95463688297094,108.44438788396756,15:14:47
11.954651112792616,108.444385031305,15:14:52
11.954658242938295,108.44438532992486,15:14:58
11.954659964868776,108.44438574419446,15:15:01
11.954661673669273,108.44438794934165,15:15:04
11.95467281613518,108.4443885553587,15:15:06
11.954695287183876,108.4443830373928,15:15:12
11.954706695107976,108.44438015639575,15:15:16
11.954720665271843,108.44437574588932,15:15:18
11.95473561678,108.44436829000098,15:15:21
11.954759494544238,108.44436167707352,15:15:27
11.954786351529247,108.44434507621649,15:15:31
11.95480061204127,108.44433627780785,15:15:34
11.9548133494237,108.44432588862269,15:15:36
11.954822784783191,108.44431802787047,15:15:39
11.954846996032241,108.44430728382315,15:15:41
11.95488540307071,108.44428976869757,15:15:46
11.954906981980939,108.4442797493821,15:15:51
11.95491609603667,108.44427657584123,15:15:54
11.95492254255002,108.44427556988143,15:15:56
11.954964782122875,108.44426714692432,15:16:01
11.954978990790918,108.44426864857782,15:16:07
11.955002507958302,108.44426838593955,15:16:10
11.95501592295678,108.44426690423106,15:16:12
11.955042025095725,108.44426863947592,15:16:16
11.955048532976075,108.44426995906387,15:16:21
11.955055701902943,108.44427308696235,15:16:26
11.955069011192966,108.44427626912857,15:16:28
11.955074627509543,108.44427786821439,15:16:31
11.955095827523396,108.44427203323325,15:16:33
11.955123385151241,108.44426034132283,15:16:36
11.955139723514879,108.44426085143793,15:16:42
11.955147608632439,108.4442634758766,15:16:46
11.95515241971014,108.44426448458202,15:16:48
11.955153643493901,108.4442641024018,15:16:51
11.955173505161433,108.44424270282134,15:16:53
11.9551954099244,108.44421478618887,15:16:56
11.955197996652856,108.444206062836,15:17:02
11.955193400057965,108.4442066677589,15:17:05
11.95518838834204,108.44420828597191,15:17:08
11.955185351375109,108.4442094842912,15:17:10
11.95520053168688,108.44418541805899,15:17:12
11.955218921763915,108.44415261167138,15:17:15
11.955231401813094,108.44412670824786,15:17:18
11.955236284561616,108.44411312529145,15:17:22
11.955235767313772,108.44410959741253,15:17:27
11.955234621631371,108.44410957633251,15:17:30
11.955233957341102,108.44411042510991,15:17:32
11.955234440447223,108.44410442779197,15:17:36
11.95523867143086,108.44409436870411,15:17:38
11.95524650140651,108.44407087522102,15:17:41
11.955258141612203,108.44402959791279,15:17:46
11.95524941059235,108.444000417273,15:17:51
11.955240319463146,108.44398394144785,15:17:54
11.955234976987455,108.44397841240828,15:17:56
11.955223430640412,108.44396601720743,15:17:59
11.955220347709709,108.44394927671159,15:18:01
11.955213228657206,108.44392562837976,15:18:07
11.955210105331355,108.44391431853714,15:18:12
11.955205208297638,108.44390748959019,15:18:14
11.955197243763577,108.44387301307238,15:18:17
11.955188161926223,108.44383635295591,15:18:19
11.955180744075482,108.44380631186031,15:18:22
11.955177622376757,108.443789360814,15:18:27
11.955173506052057,108.44378570706601,15:18:32
11.955171436594604,108.44378672100781,15:18:35
11.955163801835406,108.44378233618494,15:18:37
11.955167966904721,108.44374860277237,15:18:40
11.955167910532777,108.4437158084121,15:18:42
11.955177364384296,108.44367889590046,15:18:46
11.955173712035391,108.44366456198244,15:18:51
11.955169336639468,108.44366238560313,15:18:54
11.955169791184105,108.44366245333784,15:18:57
11.955189272196211,108.44366598925856,15:18:59
11.955232081515582,108.44367055721176,15:19:01
11.955274782180181,108.4436754545288,15:19:06
11.95529785269659,108.44367932518317,15:19:10
11.955308746873294,108.44368335370172,15:19:13
11.955312461350522,108.44368521792185,15:19:15
11.955346177132883,108.44369780745207,15:19:17
11.955356901134873,108.4436976043805,15:19:22
11.955356932327968,108.44369491696001,15:19:26
11.95535402072587,108.44369136905216,15:19:31
11.955350709850784,108.44368900305997,15:19:36
11.955351168630557,108.44368833213557,15:19:39
11.95535313798413,108.44368532909284,15:19:41
11.955375987693099,108.4436842106294,15:19:44
