Latitude,Longitude,Time
11.9555323,108.4439179,15:37:12
11.95552992292257,108.44391878039904,15:37:17
11.955528877301573,108.44393087351533,15:37:21
11.955529028966799,108.44393628463916,15:37:24
11.955526121379389,108.44396550129844,15:37:27
11.955519264669597,108.44396827902507,15:37:30
11.955520915387865,108.44399904879863,15:37:36
11.955525034976048,108.44402184637562,15:37:41
11.955528362189938,108.44403097213701,15:37:44
11.955528930393266,108.44403315732859,15:37:46
11.95552412596854,108.44402925921798,15:37:49
11.95551167045308,108.44401029304045,15:37:51
11.95551602911828,108.44399929025032,15:37:56
11.955521591628797,108.4439955408527,15:38:01
11.955546593072972,108.44397953679936,15:38:06
11.955561565976774,108.44397115509807,15:38:09
11.955567670520926,108.44396846205268,15:38:11
11.955572052451805,108.44395840927197,15:38:14
11.955573072516408,108.44392740586272,15:38:17
11.955572791125812,108.44390033208856,15:38:22
11.955570097732169,108.44388778100003,15:38:26
11.955568636322118,108.44388336783868,15:38:29
11.955568489276638,108.44388350118436,15:38:31
11.955546745819523,108.44386409715433,15:38:34
11.955521925731599,108.44383815551929,15:38:36
11.955499747689862,108.44381554919549,15:38:41
11.955490284958232,108.44380489148304,15:38:47
11.955486575205256,108.44380055151339,15:38:50
11.955483107490652,108.44379862640999,15:38:52
11.955447655948916,108.44378346750207,15:38:55
11.955411641395225,108.44377148487526,15:38:58
11.955388157591134,108.44375468542731,15:39:02
11.955382640003123,108.44373878091899,15:39:08
11.955383076907538,108.44373143313807,15:39:11
11.955390503319764,108.44372166437866,15:39:14
11.95539247718936,108.4437148896318,15:39:17
11.955392372126704,108.44370821882411,15:39:21
11.955390155668821,108.4437017851643,15:39:24
11.955385926769939,108.44369753211528,15:39:27
11.955370643991102,108.44369539811336,15:39:29
11.955356805731142,108.44369550236776,15:39:32
11.955343427298507,108.4436971152052,15:39:37
11.955330727566642,108.44370134420484,15:39:42
11.955324114417795,108.44370444438196,15:39:45
11.95531865002166,108.4437076365273,15:39:47
11.955313754219185,108.44371132397615,15:39:50
11.955291031667313,108.44372653373686,15:39:52
11.955245913085196,108.44373951584768,15:39:54
11.95521379886565,108.44374113192002,15:39:58
11.955196862845346,108.44373957902138,15:40:01
11.955190935972768,108.4437378898141,15:40:04
11.955185796293406,108.44373608917269,15:40:06
11.955161501726748,108.44374260246508,15:40:09
11.955133764499346,108.44374555971528,15:40:12
11.9551138569594,108.4437352940777,15:40:16
11.955107729688976,108.44372415698135,15:40:21
11.95510764219605,108.44371801289431,15:40:24
11.955109839230708,108.44371475413855,15:40:26
11.955101890677962,108.44372383466342,15:40:29
11.955075527515291,108.4437493892184,15:40:31
11.955069399941932,108.44375032814713,15:40:36
11.95507254906713,108.4437442829458,15:40:39
11.955077544031646,108.4437398875947,15:40:41
11.955073711898038,108.44376085213413,15:40:44
11.955082405524648,108.44379075410218,15:40:46
11.955085753312563,108.44380006104522,15:40:51
11.955087000288502,108.44380101037905,15:40:54
11.955088328061402,108.4437995807277,15:40:56
11.955094370862508,108.44380541926732,15:40:59
11.95509480838008,108.44383671410827,15:41:01
11.955102616431265,108.44387246912999,15:41:06
11.95510877262021,108.44389661948993,15:41:11
11.955112414484645,108.44390734317895,15:41:14
11.955114861496906,108.44391525400854,15:41:16
11.955119062408402,108.44392798316844,15:41:19
11.955120036800032,108.44395149090222,15:41:21
11.95511654020869,108.44397837889669,15:41:24
11.955112377634828,108.44400316880865,15:41:26
11.955110080713029,108.44402053061872,15:41:32
11.955109451128756,108.44402897991068,15:41:37
11.95510955005149,108.44403322702797,15:41:40
11.955109266583275,108.44403756224074,15:41:43
11.955108117034092,108.44405593941907,15:41:45
11.955096272909175,108.44409136512485,15:41:48
11.95509406966427,108.44411229124665,15:41:51
11.955113750618281,108.44411445596671,15:41:57
11.955130489942905,108.44411137080131,15:42:00
11.955150886626194,108.44410881697259,15:42:02
11.955173302357,108.44410887176076,15:42:05
11.955205103909044,108.44413127346482,15:42:09
11.955197021343592,108.44414979486733,15:42:11
11.955174213826828,108.44415776784466,15:42:15
11.955134520195411,108.44417184554328,15:42:18
11.95511114837503,108.44418013486181,15:42:21
11.95508876885215,108.44420819821278,15:42:24
11.955078866875391,108.44422574757957,15:42:26
11.955075246350859,108.44424070193976,15:42:31
11.955075405091451,108.44424621922442,15:42:35
11.955073537389168,108.4442650734751,15:42:37
11.95506809167827,108.44428502006602,15:42:39
11.95505163184865,108.44431964899866,15:42:42
11.955033730344423,108.44435118107057,15:42:44
11.955021140692734,108.4443726984323,15:42:51
11.955012389621878,108.44438751573827,15:42:57
11.955006132599047,108.4443986851525,15:43:00
11.95499965845094,108.44440631519144,15:43:03
11.95499233733806,108.4444103068235,15:43:05
11.95496471932855,108.44441528846018,15:43:08
11.954926134624472,108.44441177239372,15:43:11
11.954899032511456,108.44440438254637,15:43:16
11.954887326722721,108.4443995805199,15:43:19
11.954883987271948,108.44439681926063,15:43:21
11.954875605579703,108.44438640947422,15:43:24
11.954849805955371,108.44436711919306,15:43:27
11.954822066565333,108.4443506551472,15:43:29
11.95480134830876,108.44433668294192,15:43:32
11.954791693478693,108.44432967830375,15:43:37
11.954788938543906,108.44432784215333,15:43:40
11.954788612085569,108.44432864573483,15:43:42
11.954789040941609,108.44433082692738,15:43:45
11.954781484833086,108.44432698726987,15:43:47
11.954757423701793,108.44432830327533,15:43:52
11.954746502010606,108.44433276930563,15:43:57
11.954742561945531,108.44433488641897,15:44:00
11.954742020499879,108.44433494712196,15:44:02
11.954724387767257,108.44434480035952,15:44:05
